index,id,name,artists,danceability,duration_ms,energy,instrumentalness,liveness,popularity,speechiness
137,7qzF2z1R1YQc5BhZPefFC0,Last Year,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.765,195717,0.0145,0.931,0.0915,0,0.0754
138,7qzF2z1R1YQc5BhZPefFC0,Last Year,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.765,195717,0.0145,0.931,0.0915,0,0.0754
139,4alTCaGk1m36Rpe3nOG2aX,Artistic Ambiance for New Years Resolutions,['Upbeat Morning Music'],0.727,109412,0.032,0.964,0.11,0,0.0712
140,4alTCaGk1m36Rpe3nOG2aX,Artistic Ambiance for New Years Resolutions,['Upbeat Morning Music'],0.727,109412,0.032,0.964,0.11,0,0.0712
141,0BdbuVJ8fGHpNd3UtfUCti,Courage to Change,['Sia'],0.307,292656,0.606,0,0.357,49,0.0347
142,7oYK2nB80Cixtf9AkRP2vW,Modern Ambience for New Years Resolutions,['Hotel Lobby Music'],0.804,109412,0.0383,0.901,0.132,2,0.125
143,7oYK2nB80Cixtf9AkRP2vW,Modern Ambience for New Years Resolutions,['Hotel Lobby Music'],0.804,109412,0.0383,0.901,0.132,2,0.125
144,01pbU9ticpuIJEcJmGbPtR,Soulful Music for New Years Resolutions,['Upbeat Morning Music'],0.772,109412,0.0405,0.92,0.114,0,0.139
145,01pbU9ticpuIJEcJmGbPtR,Soulful Music for New Years Resolutions,['Upbeat Morning Music'],0.772,109412,0.0405,0.92,0.114,0,0.139
146,0pjQCjXX41OVMaAAx7cjgk,Wicked Moods for New Years Resolutions,['Jazz Café Bar'],0.803,109412,0.0191,0.844,0.124,0,0.0719
147,0pjQCjXX41OVMaAAx7cjgk,Wicked Moods for New Years Resolutions,['Jazz Café Bar'],0.803,109412,0.0191,0.844,0.124,0,0.0719
148,2JiapUhhbwvqJzA8WmNV4N,"Venetianer-Galopp, Op. 74","['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']",0.559,122920,0.336,0.248,0.115,33,0.0457
149,2JiapUhhbwvqJzA8WmNV4N,"Venetianer-Galopp, Op. 74","['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']",0.559,122920,0.336,0.248,0.115,33,0.0457
150,55eMKwKi9afI9eNDovuMPa,Jazz Piano Soundtrack for 2021,['Coffee Shop Jazz Relax'],0.709,135047,0.0219,0.877,0.0868,15,0.233
151,55eMKwKi9afI9eNDovuMPa,Jazz Piano Soundtrack for 2021,['Coffee Shop Jazz Relax'],0.709,135047,0.0219,0.877,0.0868,15,0.233
152,3IbvZonnvFqvasX4yIXiyA,High Class 2021,['French Cafe Jazz Lounge'],0.563,118422,0.0256,0.954,0.107,1,0.317
153,3IbvZonnvFqvasX4yIXiyA,High Class 2021,['French Cafe Jazz Lounge'],0.563,118422,0.0256,0.954,0.107,1,0.317
154,6zJsbRq1F4niz81heCv2n6,Background for New Years Resolutions,['Smooth Dinner Jazz'],0.699,141642,0.00961,0.917,0.115,10,0.453
155,6zJsbRq1F4niz81heCv2n6,Background for New Years Resolutions,['Smooth Dinner Jazz'],0.699,141642,0.00961,0.917,0.115,10,0.453
156,1vYvdZkaoudOm595vUX36i,Luxurious Jazz Piano Solo - Vibe for New Years Resolutions,['Summer Chilling Jazz'],0.645,112292,0.0309,0.92,0.111,0,0.14
157,1vYvdZkaoudOm595vUX36i,Luxurious Jazz Piano Solo - Vibe for New Years Resolutions,['Summer Chilling Jazz'],0.645,112292,0.0309,0.92,0.111,0,0.14
158,13NWA8Q5Jhd2T0oAshsiqb,Tết: Vietnamese New Year Celebrations,['Mysterious World Music'],0.361,202168,0.0929,0.797,0.106,5,0.037
159,13NWA8Q5Jhd2T0oAshsiqb,Tết: Vietnamese New Year Celebrations,['Mysterious World Music'],0.361,202168,0.0929,0.797,0.106,5,0.037
160,2IgR6PsWZRjOD42LNfh3Is,Wondrous Music for New Years Resolutions,['Soft Jazz Radio'],0.605,148422,0.00699,0.875,0.113,2,0.076
161,2IgR6PsWZRjOD42LNfh3Is,Wondrous Music for New Years Resolutions,['Soft Jazz Radio'],0.605,148422,0.00699,0.875,0.113,2,0.076
162,7x2lDOANVg3Ivz4GIKZ6Op,Luck and Happiness,['Mysterious World Music'],0.0898,189352,0.199,0.938,0.237,5,0.0407
163,7x2lDOANVg3Ivz4GIKZ6Op,Luck and Happiness,['Mysterious World Music'],0.0898,189352,0.199,0.938,0.237,5,0.0407
164,61lYjBOuvruLRo6DTt6nvH,Number One Ambience for 2021,['Coffee Shop Jazz Relax'],0.561,113685,0.0175,0.912,0.0935,14,0.0787
165,61lYjBOuvruLRo6DTt6nvH,Number One Ambience for 2021,['Coffee Shop Jazz Relax'],0.561,113685,0.0175,0.912,0.0935,14,0.0787
166,1f6VxCiiAmzOpcXXo74vX4,Friendly Jazz Piano Solo - Vibe for New Years Resolutions,['Coffee Shop Jazz Relax'],0.783,108019,0.0215,0.883,0.0656,12,0.086
167,1f6VxCiiAmzOpcXXo74vX4,Friendly Jazz Piano Solo - Vibe for New Years Resolutions,['Coffee Shop Jazz Relax'],0.783,108019,0.0215,0.883,0.0656,12,0.086
168,4iGIeGBM5H9TNdxgPtSJtV,Background for 2021,['Smooth Jazz Relax'],0.784,108019,0.0262,0.876,0.0894,2,0.104
169,4iGIeGBM5H9TNdxgPtSJtV,Background for 2021,['Smooth Jazz Relax'],0.784,108019,0.0262,0.876,0.0894,2,0.104
170,2mqS8MgHbPy3RmhbalRCnR,GOOD DAY,['BeatStrumentalz'],0.717,150264,0.784,0.898,0.115,0,0.0384
171,2mqS8MgHbPy3RmhbalRCnR,GOOD DAY,['BeatStrumentalz'],0.717,150264,0.784,0.898,0.115,0,0.0384
172,7ACOpjuFMEIx1KHluEAoj0,Adicto,"['Tainy', 'Anuel AA', 'Ozuna']",0.734,270741,0.836,0.0000171,0.179,0,0.0736
173,75dkfkzdE8jdiAt8Lp9UDA,Adicto,"['Tainy', 'Anuel AA', 'Ozuna']",0.734,270741,0.836,0.0000171,0.179,0,0.0736
174,4IOjRnLzUHArePo5BvCTd4,Adicto,"['Tainy', 'Anuel AA', 'Ozuna']",0.734,270741,0.836,0.0000171,0.179,0,0.0736
175,01PoeQzsoOsJcLUX33gS0u,Adicto,"['Tainy', 'Anuel AA', 'Ozuna']",0.734,270741,0.836,0.0000171,0.179,0,0.0736
176,1UgdgRxSP6hSfotcZmgXnn,Classic 2021,['Dinner Music Chill'],0.713,108019,0.0293,0.946,0.112,6,0.0977
